epoch,train_loss,val_loss,model
0,0.17646282882656866,0.1743155462741852,baseline
1,0.12438531849803253,0.14431905033191045,baseline
2,0.11186991362796948,0.13254896195729574,baseline
3,0.10926824122799352,0.13013233707348507,baseline
4,0.10233331317281968,0.12108442976077398,baseline
5,0.10027431459303872,0.12824738206466038,baseline
6,0.09695023476515256,0.11738609355688095,baseline
7,0.09350110550420496,0.1255158968170484,baseline
8,0.09641955417340119,0.14319754467407864,baseline
9,0.09316560843360752,0.1207699432571729,baseline
10,0.09605840974783784,0.15752144972483317,baseline
11,0.09237238267915529,0.11486752484242121,baseline
12,0.08743777286968896,0.12434797151883444,baseline
13,0.0851892052140852,0.11610695052146912,baseline
14,0.08569329924859097,0.113846182346344,baseline
15,0.0862582810792784,0.12104520482818286,baseline
16,0.08608627831410284,0.11378942464788755,baseline
17,0.08504400050489327,0.13191255432367324,baseline
18,0.08537554970482034,0.12773400233189264,baseline
19,0.08217156325342213,0.10961429345607758,baseline
20,0.08212913456189899,0.10910588717460633,baseline
21,0.0852943462246066,0.11818304657936096,baseline
22,0.08148005991115713,0.10890394089619318,baseline
23,0.07966093295844126,0.11279723560810088,baseline
24,0.0801520720177486,0.12136586366097132,baseline
25,0.08078549484346566,0.12564212968945504,baseline
26,0.07855859461560051,0.11227054351568222,baseline
27,0.0802314381983104,0.11517878991365432,baseline
28,0.07630736571845113,0.10635200815399488,baseline
29,0.07583078932737441,0.10577866505583128,baseline
30,0.07723998195536054,0.10368729853630065,baseline
31,0.0758457179472108,0.10585188353061677,baseline
32,0.07532519254047086,0.10560220728317897,baseline
33,0.07426651636540796,0.11209848628441493,baseline
34,0.07378853628047452,0.10113832499583562,baseline
35,0.07500987588013344,0.10625853362679481,baseline
36,0.07414905238048475,0.10319330522418022,baseline
37,0.07432745078069339,0.10181530158718427,baseline
38,0.07415583757216443,0.11173039738337198,baseline
39,0.0727913370714011,0.10389941223462423,baseline
40,0.07234077857575945,0.10426358497142792,baseline
41,0.07239814696662321,0.10541591388980548,baseline
42,0.07352836967064037,0.10218481209874153,baseline
43,0.07072562486789423,0.10379512463013331,baseline
44,0.07071037443344876,0.10475946708520253,baseline
45,0.07076705652223206,0.10985541367530822,baseline
46,0.06650331629711985,0.0994285302857558,baseline
47,0.06632530926908445,0.11103708003958067,baseline
48,0.0665161813744668,0.0989736144443353,baseline
49,0.06486499660878807,0.10121701736251514,baseline
50,0.06521733863231573,0.10149254206816355,baseline
51,0.06465380117605972,0.10034821258982023,baseline
52,0.06486919623710044,0.10265416663885117,baseline
53,0.06528149769125419,0.10067626877625784,baseline
54,0.06429781052484262,0.10367847829063734,baseline
55,0.06360695265341064,0.10253224192063014,baseline
56,0.06423923425824707,0.10111630556980769,baseline
57,0.0630795194749979,0.10284689384698868,baseline
58,0.06278321208937843,0.10242281232277552,baseline
59,0.06335318358464634,0.10031701482335727,baseline
60,0.061209452940542156,0.09776009213924408,baseline
61,0.060951340042200534,0.09823673071463902,baseline
62,0.06078672467250304,0.09875422411163648,baseline
63,0.060597530560432475,0.09826934639612833,baseline
64,0.06033507383464319,0.10051495626568795,baseline
65,0.05982253538641365,0.09840954357385635,baseline
66,0.059480403497659665,0.09814563465118409,baseline
67,0.059931801941644575,0.09907374609510104,baseline
68,0.059375986125710455,0.09799718893567722,baseline
69,0.05930970764705772,0.0988042676349481,baseline
70,0.058738085756612636,0.09837220909198126,baseline
71,0.05910103164301253,0.09759248919288317,baseline
72,0.05849138118312821,0.09884506484866143,baseline
73,0.059061763040126176,0.09938349346319834,baseline
74,0.058642301677047516,0.10080938395857811,baseline
75,0.05844287374902746,0.09941796512405078,baseline
76,0.05802422159971536,0.09693839321533838,baseline
77,0.058635323702526616,0.09760835284988086,baseline
78,0.05800224962031073,0.10059131217002869,baseline
79,0.0585516743160698,0.09741640656193097,baseline
80,0.05740040179293582,0.09874994775652886,baseline
81,0.05739979257992681,0.09967335814237595,baseline
82,0.0573854898104578,0.09906223667661349,baseline
83,0.057478332093175315,0.09935573414961497,baseline
84,0.05699919970998666,0.09857482628027599,baseline
85,0.05661720564868155,0.1031992693245411,baseline
86,0.05709545183498229,0.1001394351820151,baseline
87,0.056944283588760254,0.09804972385366757,baseline
88,0.05599197565687202,0.10000915895899137,baseline
89,0.05567871212929475,0.09937852263450622,baseline
90,0.05511903029791846,0.10020375019311904,baseline
91,0.05525311443470743,0.09757774371902148,baseline
92,0.05530028587812285,0.09848311348756154,baseline
93,0.0546839795985383,0.09795854047934215,baseline
94,0.055023091287379165,0.09798810334006945,baseline
95,0.054958029346809704,0.09760829056302707,baseline
96,0.05485402912751204,0.09973341784874598,baseline
97,0.05456533755351599,0.10012370734413464,baseline
98,0.054773247645968484,0.09897547179460525,baseline
99,0.05361025590474595,0.09858256919185321,baseline
100,0.054490509099179685,0.09851342504223187,baseline
101,0.054033416258542556,0.09828504431247712,baseline
102,0.05376700642953281,0.09768652575214704,baseline
103,0.053668522631502735,0.09873221113284429,baseline
104,0.05314147548463339,0.09880268641312917,baseline
105,0.05349736255286795,0.09748932372530301,baseline
106,0.053174373231497055,0.0974847754240036,baseline
107,0.05315101294149641,0.09812939626971881,baseline
108,0.05336591454212949,0.09859655219316482,baseline
109,0.05375088842198885,0.09826716672380766,baseline
110,0.05298510655266686,0.0982601540784041,baseline
111,0.05249682604272025,0.098036448041598,baseline
112,0.0524968347987763,0.09791695472598076,baseline
113,0.05276879925497501,0.09830805891752244,baseline
114,0.0534382471406125,0.09735594906409581,baseline
115,0.052366258392031406,0.09760226285457611,baseline
116,0.05312700533319136,0.09798809055487315,baseline
0,0.16535932671534806,0.13250463714202246,physics_informed
1,0.11294442593276169,0.16234164190292358,physics_informed
2,0.11105240571685428,0.14290437211592993,physics_informed
3,0.10427065266274173,0.1293548075755437,physics_informed
4,0.09914468615774395,0.1440991748770078,physics_informed
5,0.1006064534856027,0.13054801984628042,physics_informed
6,0.09613865587955647,0.16147516836722692,physics_informed
7,0.095051050491762,0.1252159672776858,physics_informed
8,0.09556105965795016,0.1145321669181188,physics_informed
9,0.09354606928000096,0.11677986011902491,physics_informed
10,0.09037774124345013,0.1269406515955925,physics_informed
11,0.09225657475587554,0.11634452406565349,physics_informed
12,0.08622491044628973,0.11500115682681401,physics_informed
13,0.08509043093019508,0.1408970627983411,physics_informed
14,0.08508259574492029,0.12053491562604904,physics_informed
15,0.08489219756546457,0.12098088093598684,physics_informed
16,0.08338902873112608,0.12506647089123726,physics_informed
17,0.08323364838110185,0.11346964904665947,physics_informed
18,0.08573626986896037,0.11441791468858718,physics_informed
19,0.08133346618938331,0.11885176638762156,physics_informed
20,0.08351928501686608,0.111941392014424,physics_informed
21,0.0832263915001605,0.11140353145202,physics_informed
22,0.08112528765348088,0.11350473309556643,physics_informed
23,0.08080934705253974,0.11727551263570786,physics_informed
24,0.08001081135011628,0.10989863935112953,physics_informed
25,0.07976643298589554,0.11042818422118823,physics_informed
26,0.07832677992468343,0.10918451304237048,physics_informed
27,0.07864053126989441,0.1074927939971288,physics_informed
28,0.07699933598062661,0.10759407784541448,physics_informed
29,0.07873942007358473,0.10710166623195012,physics_informed
30,0.07533086105442156,0.11308105073372524,physics_informed
31,0.07606300461291415,0.10998150333762169,physics_informed
32,0.07550963850997253,0.10772303846478462,physics_informed
33,0.07767613883808679,0.1114845963915189,physics_informed
34,0.07693519968125792,0.10347130819161733,physics_informed
35,0.07582742974696643,0.10421467330058416,physics_informed
36,0.07299758316287487,0.10651129939158757,physics_informed
37,0.07245568187961378,0.11024458918968837,physics_informed
38,0.07261565595341356,0.10793495072921117,physics_informed
39,0.0742022461121178,0.10492953534921011,physics_informed
40,0.07249414303208379,0.10151365085442861,physics_informed
41,0.07192192770028534,0.1022413653532664,physics_informed
42,0.07222507592800159,0.10261251317461331,physics_informed
43,0.07259592658812035,0.10277478467424711,physics_informed
44,0.07135743690193833,0.10126715112725894,physics_informed
45,0.07161426324090124,0.10725681702295939,physics_informed
46,0.07056242151206368,0.10095632084210714,physics_informed
47,0.06999459390139706,0.1018931921919187,physics_informed
48,0.07003099909878824,0.09833100867271423,physics_informed
49,0.06932075782637094,0.10046007316311201,physics_informed
50,0.06811607947390182,0.11015972758332888,physics_informed
51,0.06867218359866124,0.10377354322870573,physics_informed
52,0.0680377380298183,0.10246110311150551,physics_informed
53,0.06928655120459083,0.1022570748825868,physics_informed
54,0.06664823261868942,0.10863957288861274,physics_informed
55,0.06770440933958911,0.10325713468591372,physics_informed
56,0.06635674661004375,0.10468375105659167,physics_informed
57,0.06616649971240689,0.1005695276161035,physics_informed
58,0.06643107995801914,0.1120857541958491,physics_informed
59,0.06835281276564027,0.10340493900577227,physics_informed
60,0.062737349237636,0.10054874353607496,physics_informed
61,0.06124360670707082,0.10037412696083386,physics_informed
62,0.061052748741499775,0.09788111979762713,physics_informed
63,0.061810774766190894,0.10262087992827097,physics_informed
64,0.06137640921621812,0.0983068918287754,physics_informed
65,0.0606653626784054,0.10366840303937594,physics_informed
66,0.06048136941765962,0.09957302409410476,physics_informed
67,0.060096113005650625,0.10082557461659114,physics_informed
68,0.060071414593184984,0.10052703437209129,physics_informed
69,0.06017280497350096,0.10023499869306882,physics_informed
70,0.05861292955887153,0.09916934116681417,physics_informed
71,0.05959205352631368,0.10064226693908374,physics_informed
72,0.05852886702669967,0.1032920298675696,physics_informed
73,0.05837207019852965,0.09955801684657732,physics_informed
74,0.05605223681418337,0.09864577087759972,physics_informed
75,0.056710704540301686,0.09979565094908079,physics_informed
76,0.055835279085703605,0.0972917882502079,physics_informed
77,0.05606127954349699,0.102592381666104,physics_informed
78,0.056307347331393594,0.09847765356302261,physics_informed
79,0.05534946701582694,0.1000891018807888,physics_informed
80,0.055830072305433166,0.09957491999864579,physics_informed
81,0.055290322401544204,0.09929389444986979,physics_informed
82,0.055543585560765454,0.09882627580563227,physics_informed
83,0.0557658059046799,0.10098534172773362,physics_informed
84,0.05496762110841722,0.09925479030609131,physics_informed
85,0.05498647558206965,0.0994694524804751,physics_informed
86,0.055334582579307116,0.09957041001319886,physics_informed
87,0.05450176871377042,0.09978219498197238,physics_informed
88,0.05352563960660061,0.09771153826514879,physics_informed
89,0.05258087696616984,0.09903268137574196,physics_informed
90,0.052908837666413744,0.0986587043106556,physics_informed
91,0.05331700996876325,0.09937410192688306,physics_informed
92,0.05284968406660515,0.09965195739269257,physics_informed
93,0.05251526145395746,0.09977842854460081,physics_informed
94,0.05283389293105667,0.10046482069293658,physics_informed
95,0.052798072154886196,0.09941360637545586,physics_informed
96,0.05183954964229102,0.10037222610910733,physics_informed
97,0.052710031217121985,0.09963844774166743,physics_informed
98,0.05270222761295976,0.10238109569748242,physics_informed
99,0.05184216185450145,0.1004884026547273,physics_informed
100,0.05200543483338289,0.10060378986597061,physics_informed
101,0.05175772752217247,0.10069609606266022,physics_informed
102,0.05178537069675717,0.09959280706445377,physics_informed
103,0.051579053004320065,0.10028913642962774,physics_informed
104,0.05094178289290035,0.10056408357620239,physics_informed
105,0.05110315894618858,0.10050922061006227,physics_informed
106,0.05101036722242738,0.1010164977312088,physics_informed
107,0.0512566597453693,0.10069813681642215,physics_informed
108,0.05111854574638417,0.1000793879032135,physics_informed
109,0.05129887799872012,0.10137684181332589,physics_informed
110,0.050670605480279074,0.10095699591437976,physics_informed
111,0.050651071796813184,0.10053840417663257,physics_informed
112,0.05058248722317501,0.10050175294280052,physics_informed
113,0.050801528832568124,0.10056274949510892,physics_informed
114,0.05040478676118833,0.10050617574652036,physics_informed
115,0.050338100955823036,0.10065423865119616,physics_informed
116,0.05013803256670543,0.1006276012957096,physics_informed
